date,province,region,metric,value
1/1/2019,Lampang ,north,revenue_thai,285760000
1/1/2019,Lamphun ,north,revenue_thai,172640000
1/1/2019,Mae Hong Son ,north,revenue_thai,421090000
1/1/2019,Phichit ,north,revenue_thai,135340000
1/1/2019,Nakhon Phanom ,east_northeast,revenue_all,220710000
1/1/2019,Chaiyaphum ,east_northeast,revenue_all,179160000
1/1/2019,Khon Kaen ,east_northeast,revenue_all,1906050000
1/1/2019,Samut Prakan ,central,revenue_foreign,487860000
1/1/2019,Pathum Thani ,central,revenue_foreign,103780000
1/1/2019,Nonthaburi ,central,revenue_foreign,105090000
1/1/2019,Ang Thong ,central,revenue_foreign,5750000
1/1/2019,Sing Buri ,central,revenue_foreign,390000
1/1/2019,Nakhon Pathom ,central,revenue_foreign,16860000
1/1/2019,Chainat ,central,revenue_foreign,890000
1/1/2019,Saraburi ,central,revenue_foreign,11600000
1/1/2019,Phra Nakhon Si Ayutthaya ,central,revenue_foreign,384480000
1/1/2019,Samut Sakhon ,central,revenue_foreign,730000
1/1/2019,Lopburi ,central,revenue_foreign,5410000
1/1/2019,Bangkok,central,revenue_all,81926490000
1/1/2019,Lopburi ,central,revenue_all,457240000
1/1/2019,Phra Nakhon Si Ayutthaya ,central,revenue_all,1438730000
1/1/2019,Saraburi ,central,revenue_all,347790000
1/1/2019,Chainat ,central,revenue_all,101790000
1/1/2019,Nakhon Pathom ,central,revenue_all,407980000
1/1/2019,Sing Buri ,central,revenue_all,69610000
1/1/2019,Ang Thong ,central,revenue_all,132070000
1/1/2019,Nonthaburi ,central,revenue_all,527420000
1/1/2019,Bangkok,central,revenue_foreign,52183910000
1/1/2019,Pathum Thani ,central,revenue_all,307920000
1/1/2019,Chachoengsao ,east,revenue_foreign,4780000
1/1/2019,Kanchanaburi ,central,revenue_foreign,256960000
1/1/2019,Narathiwat ,south,revenue_foreign,182080000
1/1/2019,Nakhon Si Thammarat ,south,revenue_foreign,35370000
1/1/2019,Yala ,south,revenue_foreign,199330000
1/1/2019,Pattani ,south,revenue_foreign,680000
1/1/2019,Chumphon ,south,revenue_foreign,49490000
1/1/2019,Ranong ,south,revenue_foreign,45560000
1/1/2019,Trang ,south,revenue_foreign,220490000
1/1/2019,Phatthalung ,south,revenue_foreign,2510000
1/1/2019,Phuket ,south,revenue_foreign,50557610000
1/1/2019,Ratchaburi ,central,revenue_foreign,10830000
1/1/2019,Sa Kaeo ,east,revenue_foreign,97910000
1/1/2019,Prachinburi ,east,revenue_foreign,41890000
1/1/2019,Nakhon Nayok ,east,revenue_foreign,6290000
1/1/2019,Trat ,east,revenue_foreign,1173070000
1/1/2019,Chanthaburi ,east,revenue_foreign,48770000
1/1/2019,Chonburi ,east,revenue_foreign,23929010000
1/1/2019,Prachuap Khiri Khan ,central,revenue_foreign,1238260000
1/1/2019,Phetchaburi ,central,revenue_foreign,575990000
1/1/2019,Suphan Buri ,central,revenue_foreign,2710000
1/1/2019,Samut Songkhram ,central,revenue_foreign,7340000
1/1/2019,Rayong ,east,revenue_foreign,454990000
1/1/2019,Samut Prakan ,central,revenue_all,796190000
1/1/2019,Samut Sakhon ,central,revenue_all,164490000
1/1/2019,Chachoengsao ,east,revenue_all,292960000
1/1/2019,Surat Thani ,south,revenue_all,9795400000
1/1/2019,Satun ,south,revenue_all,1762520000
1/1/2019,Kamphaeng Phet ,north,revenue_all,156400000
1/1/2019,Chiang Rai ,north,revenue_all,3204260000
1/1/2019,Chiang Mai ,north,revenue_all,12004620000
1/1/2019,Phichit ,north,revenue_all,136240000
1/1/2019,Nakhon Sawan ,north,revenue_all,349650000
1/1/2019,Tak ,north,revenue_all,715400000
1/1/2019,Phitsanulok ,north,revenue_all,989880000
1/1/2019,Phang Nga ,south,revenue_all,6062060000
1/1/2019,Phayao ,north,revenue_all,148560000
1/1/2019,Phrae ,north,revenue_all,185370000
1/1/2019,Lampang ,north,revenue_all,339280000
1/1/2019,Lamphun ,north,revenue_all,185470000
1/1/2019,Mae Hong Son ,north,revenue_all,672080000
1/1/2019,Uttaradit ,north,revenue_all,253400000
1/1/2019,Uthai Thani ,north,revenue_all,123830000
1/1/2019,Sukhothai ,north,revenue_all,348290000
1/1/2019,Nan ,north,revenue_all,334100000
1/1/2019,Kalasin ,east_northeast,revenue_all,93880000
1/1/2019,Phetchabun ,north,revenue_all,861900000
1/1/2019,Songkhla ,south,revenue_all,6531350000
1/1/2019,Krabi ,south,revenue_all,10844790000
1/1/2019,Narathiwat ,south,revenue_all,246030000
1/1/2019,Ratchaburi ,central,revenue_all,450010000
1/1/2019,Kanchanaburi ,central,revenue_all,2695150000
1/1/2019,Samut Songkhram ,central,revenue_all,344930000
1/1/2019,Suphan Buri ,central,revenue_all,487610000
1/1/2019,Phetchaburi ,central,revenue_all,2352550000
1/1/2019,Prachuap Khiri Khan ,central,revenue_all,3755100000
1/1/2019,Chonburi ,east,revenue_all,27896450000
1/1/2019,Chanthaburi ,east,revenue_all,844480000
1/1/2019,Trat ,east,revenue_all,2073220000
1/1/2019,Nakhon Nayok ,east,revenue_all,842490000
1/1/2019,Prachinburi ,east,revenue_all,521290000
1/1/2019,Rayong ,east,revenue_all,2435410000
1/1/2019,Sa Kaeo ,east,revenue_all,581600000
1/1/2019,Phuket ,south,revenue_all,55328200000
1/1/2019,Phatthalung ,south,revenue_all,181320000
1/1/2019,Trang ,south,revenue_all,1250160000
1/1/2019,Ranong ,south,revenue_all,368380000
1/1/2019,Chumphon ,south,revenue_all,496860000
1/1/2019,Pattani ,south,revenue_all,79150000
1/1/2019,Yala ,south,revenue_all,236370000
1/1/2019,Nakhon Si Thammarat ,south,revenue_all,1270860000
1/1/2019,Phra Nakhon Si Ayutthaya ,central,no_tourist_thai,561553
1/1/2019,Lopburi ,central,no_tourist_thai,266301
1/1/2019,Lopburi ,central,no_tourist_foreign,2363
1/1/2019,Chanthaburi ,east,no_tourist_all,257105
1/1/2019,Nakhon Nayok ,east,no_tourist_all,278705
1/1/2019,Prachinburi ,east,no_tourist_all,183846
1/1/2019,Rayong ,east,no_tourist_all,650811
1/1/2019,Sa Kaeo ,east,no_tourist_all,199751
1/1/2019,Phuket ,south,no_tourist_all,1690776
1/1/2019,Phatthalung ,south,no_tourist_all,120318
1/1/2019,Trang ,south,no_tourist_all,173715
1/1/2019,Ranong ,south,no_tourist_all,110844
1/1/2019,Chumphon ,south,no_tourist_all,116543
1/1/2019,Pattani ,south,no_tourist_all,22499
1/1/2019,Yala ,south,no_tourist_all,52984
